cluster_id_program,Program_Name,Progam,Org,sources,n_sources,M_n_sources,C_n_sources,MSheetID,Street Address.x,City.x,Zip.x,cluster_id_Org,Organization Name,Program Name,Domain Name,Service Factor,Service Type 1,Service Type 2,Phone Number,Fax Number,Website,Mon- Hours,Tues-Hours,Wed-Hours,Thurs-Hours,Fri-Hours,Sat-Hours,Sun-Hours,Street Address.y,City.y,Zip.y,Multiple Locations,Location Eligibility,Population Served,Brief Program Description,Age Range for Services,Specific Eligibility Criteria,Services Provided in other languages,Specify Languages,Services Offered,Duration/Length of Service,Evidence Based,Validated Screening Tools,Fees,Contact Name for Referrals,Phone Number 2,Email Address,Accepted Referral Process,Preferred Referral,Referral Form Provided,Referral Source Response Time,Practice for Following Up with Referring Organization,Current Waitlist,General Waitlist Trends,Duplication Policy,Transportation Policy,Primary Program Contact Name,Phone Number 3,Email address
492d529a-ba89-4a5f-9f42-2559f6b668ab,Womens Resource Center - Baby Basics Program,Womens Resource Center - Baby Basics Program,YWCA High Point,M0135;  M0134;  C0049,3,2,1,NA,NA,NA,NA,59cb0996-4174-429a-81fe-06df98a5e325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4cec52cc-994f-4174-a22b-d0a03501befc,Vocational Rehab,Vocational Rehab,Vocational Rehab,M0171,1,1,0,M0171,3401 W. Wendover Ave #A,Greensboro,27407.0,648954c8-d7a5-48aa-86e2-e557ed5f2a30,Vocational Rehab,Vocational Rehab,Support for a Safe Home,NA,NA,NA,336-487-0500,NA,https://www.ncdhhs.gov/divisions/dvrs/vr-local-offices,NA,NA,NA,NA,NA,NA,NA,3401 W. Wendover Ave #A,Greensboro,27407.0,YES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4db8ccc7-a003-4bec-9e62-a9006532507e,Work First Family Assistance,Work First Family Assistance,Department of Social Services,C0014;  M0037,2,1,1,M0037,1203 Maple Street,Greensboro,27405.0,e7d8f57d-0fa3-4030-b6e4-859fbef0e569,Department of Social Services,Work First Family Assistance,NA,NA,Job Attainment Services,Social Services,336-641-3000,NA,https://www.guilfordcountync.gov/our-county/human-services/social-services/family-services-and-programs,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,NA,NA,1203 Maple Street,Greensboro,27405.0,NA,Guilford County-Wide,NA,"North Carolina’s Temporary Assistance for Needy Families (TANF) program, called Work First (WF), is based on the premise that parents have a responsibility to support themselves and their children.  The WF program promotes a strengths-based, family-centered practice approach and shares in the mission of the NC DHHS, in collaboration with its partners, to protect the health and safety of all North Carolinians and provide essential human services.  WF provides parents with short-term training and other services to help them become employed and move toward self-sufficiency. Families in which grandparents and relatives are caring for their relative children and legal guardians can receive services and support that prevent children from unnecessarily entering the foster care system.  WF emphasizes three core strategies: Diversion, Work and Retention.",NA,NA,NA,NA,"EMergency Assistance, Heating or Cooling Assistnace, Family Recruitment for Foster and Adoptive Homes, Food Stamps, Guardianship Services, Work First Family Assistance, and Medicaid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4e7dc906-f51c-49df-8b23-b74a40f9c924,Care Coordination for Children (CC4C)/CMARC (Care Management for At Risk Children),Care Coordination for Children (CC4C)/CMARC (Care Management for At Risk Children),Department of Public Health,M0038;  M0027;  C0008,3,2,1,NA,NA,NA,NA,b343b89a-1575-429b-a392-46e4f841d0b5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4f026bd2-b1b0-4568-a9a2-e8f5272a6d4e,Boys and Girls Club at West End Club,Boys and Girls Club at West End Club,Boys and Girls Club of Greater High Point,C0005;  M0007,2,1,1,M0007,903 English Road,High Point,27262.0,f1daa81b-2f0d-438c-94f9-514d60cacbf8,Boys and Girls Club of Greater High Point,Boys and Girls Club at West End Club,Support for Caring for Infants and Children,Child Care Plans,After-School Programs,NA,336-886-5170,NA,https://www.hpclubs.org/,"School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm",NA,NA,903 English Road,High Point,27262.0,NA,NA,NA,"Boys and Girls Club mission is to enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens.",Thu Jun 18 00:00:00 EDT 2020,NA,NA,NA,"Educational, recreational, cultural and social activites","All year , except holidays",N/A,N/A,$2 per year,NA,NA,NA,Paper application,NA,NA,NA,NA,NA,NA,NA,Only for field trips,NA,NA,Info@hpclubs.org
50d10a4d-d82a-4327-b153-5b4619f6a5d8,Greensboro Bellemeade Center,Greensboro Bellemeade Center,Monarch Counseling,M0089;  C0212,2,1,1,M0089,201 N. Eugene Street,Greensboro,27401.0,e6e936b9-0bfe-467f-be99-d39eb7d5c6d2,Monarch Counseling,Greensboro Bellemeade Center,NA,NA,Adult Mental Health Services,NA,336-676-6906,NA,https://monarchnc.org/behavioral-health-services/outpatient-services/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,NA,NA,201 N. Eugene Street,Greensboro,27401.0,NA,Multi-County,NA,"Monarch’s outpatient services offer a caring and experienced team of professionals who help people take the first step, which is often the most difficult. Together, we develop a well-defined and customized plan for each person that meets the individual’s needs and goals.  Each plan includes evidence-based practices as proven strategies that work. From board-certified psychiatrists, registered nurses, therapists and outpatient office administrative professionals—all care and want to help you and your loved ones in every way possible to ensure you succeed.",NA,NA,yes,Spanish and English,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lora Umberger,866-272-7826,NA
51e06816-1d61-4a93-8cdb-466be43593a3,Temporary Emergency Shelter Assistance,Temporary Emergency Shelter Assistance,Sherri Denese Jackson Foundation,C0062;  M0116,2,1,1,M0116,125 S. Elm Street Suite 205,Greensboro,27401.0,8c8f4d13-cf45-4071-bc15-e059216b0847,Sherri Denese Jackson Foundation,Temporary Emergency Shelter Assistance,Support for a Safe Home,Family and Community Safety,Domestic Violence/Interpersonal Violence Services,NA,336-510-9292,NA,https://www.sdjfnc.org/,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,125 S. Elm Street Suite 205,Greensboro,27401.0,NA,Guilford County-Wide,NA,"Sherri Denese Jackson Foundation's mission is to prevent and stop domestic violence by offering preventative tools and by bringing awareness to the community on a local, state, and national level. Temporary Emergency Shelter Assistance is for victims of domestic violence, dating violence, sexual assault or stalking",All ages,N/A,No,N/A,Shelter,Shelter- up to 6 days,N/A,N/A,Free,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Portia Shipman,336-300-1333,sdjfnc@gmail.com
571185af-8b2d-478b-bda7-a6873476cc4f,Mental Evaluations,Mental Evaluations,Ringer Center,M0106,1,1,0,M0106,213 E. Bessemer Avenue,Greensboro,27401.0,04199905-234d-45ce-80e1-43a1194375ae,Ringer Center,Mental Evaluations,NA,NA,Adult Mental Health Services,NA,336-379-7146,NA,https://ringercenter.com/,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,NA,NA,213 E. Bessemer Avenue,Greensboro,27401.0,NA,Greensboro,NA,Ringer Center offers Individual Therapy which a therapist will help with treatment plans and how often sessions will occur. The Individual Therapy allows you to discuss your thoughts and feelings with your own therapist who is there to provide confidental useful interventions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stephen W. Ringer,NA,NA
572456f1-0ba8-4d95-a615-4e62aa94a3bc,Boys and Girls Club at Caldcleugh Unit,Boys and Girls Club at Caldcleugh Unit,Salvation Army of Greensboro,C0043;  M0110,2,1,1,M0110,1700 Orchard Street,Greensboro,27406.0,f3b8a928-fffe-469e-a2ca-fa33c260123b,Salvation Army of Greensboro,Boys and Girls Club at Caldcleugh Unit,Support for Caring for Infants and Children,Child Care Plans,After-School Programs,NA,336-373-5881,N/A,https://www.salvationarmycarolinas.org/bgcgreensboro/home/,N/A,N/A,N/A,N/A,N/A,NA,NA,1700 Orchard Street,Greensboro,27406.0,NA,Greater Greensboro,NA,"The Salvation Army Boys & Girls Club of Greensboro offers young people what they need and want most – adults who respect and listen to them; a safe environment where they can have fun and be themselves; and interesting, constructive activities that channel youthful energy into challenging pursuits. The Salvation Army is an evangelical part of the universal Christian Church. Its mission is to preach the gospel of Jesus Christ and to meet human needs in His name without discrimination.",Children 6-18,Anyone,NA,NA,"Education and Career Development, Character and Leadership Development, Spiritual Development, Health and Life Skills, The Arts, Sports, Fitness and Recreation",Varies,No,No,"Scholarships are available. $7 for annual membership, $15 per week for after-school programs, and $50 per week during the summer.",Jumual Wallace,336-373-5581,jumual.wallace@uss.salvationarmy.org,"Paper application - email, Paper application - drop-off",NA,https://www.salvationarmycarolinas.org/bgcgreensboro/membership-application.pdf,NA,N/A,NA,NA,Duplication allowed,No,Grace Thompson,336-907-3635 x65396,grace.thompson@uss.salvationarmy.org
573cc866-f351-4f95-a2b6-56530bb91b4d,Greensboro Refugee Employment Advancement Team,Greensboro Refugee Employment Advancement Team,UNCG Center for New North Carolinians,C0175;  M0013,2,1,1,M0013,"916 W. Gate City Boulevard, Suite A",Greensboro,27403.0,4a90020e-a7cb-4d14-8871-317a0bcf2d72,UNCG Center for New North Carolinians,Greensboro Refugee Employment Advancement Team,Support for a Safe Home,Household Safety/Material Supports,Job Attainment Services,Immigration Services,336-334-5466,336-334-5413,https://cnnc.uncg.edu/great/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,NA,NA,"916 W. Gate City Boulevard, Suite A",Greensboro,27403.0,NA,Multi-County,NA,"The Greensboro Refugee Employment Advancement Team – GREAT – is a collaborative effort of local refugee-serving agencies. Church World Service Greensboro (CWS), New Arrivals Institute (NAI), Montagnard Dega Association (MDA), and CNNC work together to support low-income refugees and immigrants in finding and retaining stable, family-sustaining employment.",Ages 16 and above,Low-income immigrant and refugee adults living in the greater Greensboro area.,Yes,NA,"Employment planning
Computer literacy classes
Vocational case management services
Overseas degree evaluation and translation",NA,No,No,No,Natacha Nikokeza,336-334-5466,n_nikoke@uncg.edu,"Call, Email, Online application, Paper application",NA,https://cnnc.uncg.edu/wp-content/uploads/2018/07/Community-Centers-Referral-Form-1.doc,NA,NA,NA,NA,NA,NA,Holly Sienkiewicz,336-334-9814,holly.cnnc@uncg.edu
57be79f8-799a-457a-9ddc-1b6270531359,Freedom House,Freedom House,Freedom House,M0167,1,1,0,M0167,PO Box 38215,Greensboro,27438.0,6ea950df-1fef-408b-ba36-69e0f7bf0552,Freedom House,Freedom House,Support for a Safe Home,NA,housing,NA,336-286-7822,NA,https://helpfreedomhouse.org/,NA,NA,NA,NA,NA,NA,NA,PO Box 38215,Greensboro,27438.0,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58b377a9-98a7-48c1-966b-5d266270736b,Employment Services,Employment Services,World Relief Triad,C0185;  M0125,2,1,1,M0125,"155 Northpoint Avenue, Suite 102",High Point,27262.0,83f39ea8-7174-4565-8f09-928a18c8cf2d,World Relief Triad,Employment Services,NA,NA,Immigration Services,NA,336-887-9007,336-887-5245,https://worldrelieftriad.org/employment-0,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,NA,NA,"155 Northpoint Avenue, Suite 102",High Point,27262.0,NA,"High Point, Greater High Point",NA,"The World Relief Triad pre-screens every refugee they represent and clients are authorized to work in the United States. They support them and the companies who hire them through the entire process of matching the right candidates with the right opportunities, applying, interviewing, hiring, and training. They stay with clients and their employers as long as necessary to ensure the best results, and all of their services are free to employers. In some cases employers can even receive financial benefit by providing on the job training.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kara Kebu,NA,kkebu@wr.org
592eba4c-49de-4a55-beac-0fbbed34d8b6,One-on-One Peer Support,One-on-One Peer Support,Mental Health Greensboro,M0085;  C0209,2,1,1,M0085,700 Walter Reed Drive,Greensboro,27403.0,b5eb49b4-2ee9-4cdc-aebb-a3ac29dcfe98,Mental Health Greensboro,One-on-One Peer Support,NA,NA,Adult Mental Health Services,NA,336-373-1402,NA,https://www.mhag.org/peer-support-specialists/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,NA,NA,700 Walter Reed Drive,Greensboro,27403.0,NA,Multi-County,NA,"For individuals with a mental health diagnosis, Mental Health Greensboro provides one-on-one peer support with NC Certified Peer Support Specialists. There is no charge to participate in this program. Each specialist has received extensive training and certification by the state of North Carolina. Peer support specialists work from the perspective of having been there and lend unique insight into mental illness and what makes recovery possible. This program focuses on what mental health consumers can do for themselves and for each other, with activities including skill building, goal setting, and problem solving, all leading to a sense of empowerment for the individual seeking assistance.",18 or older,orentation,yes,spanish and english,"REcovery Skills Classes, Support Groups,One on one peer support, compeer connections, Mental Health First Aid,QPR Suicide Prevention Trainig,Provider Academy,LIFT Peer Support Internships",12 sessions,yes,N/A,N/A,Lee Carter,336-373-1402,lee@mhag.org,"Peer Referral, Schedule Orientaion",NA,https://www.mhag.org/calendars/,NA,Will contact individuals for orientation and the different programs,No,No,N/A,N/A,Lee Carter,336-373-1402,info@mhag.org
5ba80529-86e5-4a66-bb1d-c18af035396e,Anti-Human Trafficking,Anti-Human Trafficking,World Relief Triad,M0124;  C0183,2,1,1,M0124,"155 Northpoint Avenue, Suite 102",High Point,27262.0,83f39ea8-7174-4565-8f09-928a18c8cf2d,World Relief Triad,Anti-Human Trafficking,Support for a Safe Home,Family and Community Safety,Immigration Services,Domestic Violence/Interpersonal Violence Services,336-887-9007,336-887-5245,https://worldrelieftriad.org/human-trafficking,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,NA,NA,"155 Northpoint Avenue, Suite 102",High Point,27262.0,NA,"High Point, Greater High Point",NA,"World Relief Triad AHT helps survivors acquire housing, food, clothing, interpretation, medical and dental services, mental and behavioral health services, legal services, transportation, education, and job development. Meeting these needs is the start of rebuilding each survivor’s capacity for trust and relationships so that, over time, they can rebuild their lives. World Relief Triad is a Christian organization that serves those who are suffering from injustice and poverty, regardless of color, gender, or belief.",NA,"Foreign-born survivors of human trafficking rescued in North Carolina and other locations in the United States, as well as U.S. Citizens and Legal Permanent Residents",NA,NA,Case management,5 months,NA,NA,NA,Rachel Parker,NA,rparker@wr.org,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rachel Parker,NA,rparker@wr.org
5db4e87a-83b5-47bb-8157-1747fac13c33,Family Solutions,Family Solutions,Family Solutions,C0200;  M0051,2,1,1,M0051,231 N. Spring Street,Greensboro,27401.0,b9da59ba-3848-46ba-a411-8e15a75a14d8,Family Solutions,Family Solutions,Support for Caring for Infants and Children,Parent-Child Relationship,Child and Family Mental Health Services,Adult Mental Health Services,336-899-8800,336-899-8811,https://www.famsolutions.org/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,NA,NA,231 N. Spring Street,Greensboro,27401.0,NA,Multi-County,NA,"Family Solutions is a private counseling agency committed to providing great outpatient mental health services to the Triad region. Serving their community since 2001, their agency consists of thirty-two mental health professionals who are fully/associate level Licensed Professional Counselors and fully/associate level Licensed Clinical Social Workers. Their mission is community, commitment, and compassion. Family Solutions provides an array of mental health services to individuals, children, and families. Services are community and office-based, depending upon the family’s needs.",All ages,N/A,NA,NA,"Individual therapy, group therapy, and family therapy, including online counseling, early childhood mental health, Incredible Years, EMDR, in-home therapy services, school-based therapy, trauma-focused CBT, play therapy","Varies, depends on person",Yes,NA,Yes,Megan Oakes,336-899-8800,intake@famsolutions.org,"Paper application, Online application",NA,https://www.famsolutions.org/referral-forms,NA,NA,NA,NA,Duplication allowed,None,Chris or Anita Faulkner,336-392-1606 (Chris) 336-491-8292 (Anita),"chris@famsolutions.org
anita@famsolutions.org"
5de43c0e-7bc2-4c06-9109-1cd7dc78ce0f,Immigration Services,Immigration Services,UNCG Center for New North Carolinians,M0015;  C0177,2,1,1,M0015,"915 W. Gate City Boulevard, Suite A",Greensboro,27403.0,4a90020e-a7cb-4d14-8871-317a0bcf2d72,UNCG Center for New North Carolinians,Immigration Services,Support for a Safe Home,Family and Community Safety,Immigration Services,NA,336-256-1062,336-334-5413,https://cnnc.uncg.edu/immigration-services/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,NA,NA,"915 W. Gate City Boulevard, Suite A",Greensboro,27403.0,NA,Multi-County,NA,"Recognizing the contributions of immigrants and the value of reuniting families, the mission of the CNNC Immigration Services Program is to give affordable access to those who are eligible to immigrate and/or become U.S Citizens and need immigration counseling.",All ages,Individuals who are eligible to immigrate,Yes,NA,"Family immigration
Naturalization/citizenship
Permanent residence
DACA renewals
Travel documents
Fiance(e) petitions
Consular processing
Affidavit of support
Remove conditions of residence",Varies,No,No,Yes,Kathy Hinshaw,336-256-1065,kathyhinshaw.cnnc@uncg.edu,"Call, Email",NA,No,NA,NA,NA,NA,No,None,Kathy Hinshaw,336-256-1065,kathyhinshaw.cnnc@uncg.edu
5f0a6a59-e9e8-4d92-8931-ba31628a1bfc,Healthy Moms Healthy Babies,Healthy Moms Healthy Babies,YWCA Greensboro,M0137;  C0048,2,1,1,M0137,1807 E. Wendover Avenue,Greensboro,27405.0,6ce29e8b-d631-44cb-b528-1f0ba17c882a,YWCA Greensboro,Healthy Moms Healthy Babies,NA,NA,Home Visiting Programs,Case Management,336-273-3461,NA,https://ywcagsonc.org/services/healthy-moms-healthy-babies/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,NA,NA,1807 E. Wendover Avenue,Greensboro,27405.0,NA,NA,NA,"Healthy Moms Healthy Babies is a personalized program for women and their children. The program seeks to help young women have healthy pregnancies and healthy children, and maintain a healthy lifestyle between pregnancies.",Women 20 to 30 years old and their children,NA,NA,NA,"Peer group education and support, Childbirth classes, Doulas, Goal setting, Transportation assistance, Parenting support, Referrals,",NA,NA,NA,NA,Felicia Evans,336-273-3461,fevans@ywcagso.org,NA,NA,NA,NA,NA,NA,NA,NA,NA,Felicia Evans,336-493-1907,fevans@ywcagsonc.org
60fc07de-0c9f-4441-8c52-ce25075f86b4,Wise Guys,Wise Guys,Children Home Soceity of NC,M0153,1,1,0,M0153,NA,NA,NA,89d34987-c655-4b11-ba5c-68ed16f44eaa,Children Home Soceity of NC,Wise Guys,NA,NA,NA,NA,336-274-1538,NA,"https://www.chsnc.org/wise-guys#:~:text=Wise%20Guys%C2%AE%2C%20an%20award,healthy%20relationships%20to%20teen%20males.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wise Guys®, an award-winning program of Children’s Home Society of NC, celebrates 30 years of its holistic approach in providing social and emotional learning to promote healthy relationships to teen males. Communities, coast to coast, have implemented Wise Guys with diverse groups of males in a variety of settings: from schools, community and health centers to sports leagues, faith groups, and more. Over 5,000 teen males participated in this program last year.",Male teenagers,Male teenagers,NA,NA,Group Education,8-12 sessions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336-274-1538,NA
62f23092-8c4b-4ab6-a518-d3785302bcf6,Latino Family Center - El Pueblo,Latino Family Center - El Pueblo,YWCA High Point,M0132;  C0052;  C0186,3,1,2,M0132,155 W. Westwood Avenue,High Point,27262.0,59cb0996-4174-429a-81fe-06df98a5e325,YWCA High Point,Latino Family Center - El Pueblo,NA,NA,NA,NA,336-882-4126,NA,https://ywcahp.com/what-we-do/latino-family-center/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,NA,NA,155 W. Westwood Avenue,High Point,27262.0,NA,"High Point, Greater High Point",NA,"El Pueblo is a community access program that provides outreach services, information, and referral services to Latinos in the greater High Point area.  Program leaders provide assistance with translations of documents or language interpretation when interfacing with health, educational, social or legal systems. They also assist in helping program participants understand what resources are available to them, and what avenues to pursue.  During a family crisis, The El Pueblo program provides a stable resource for the family as well as a valuable link in crisis situations related to health and legal problems.  El Pueblo provides community meetings on:  Immigration Issues, US Legal System, Family Financial Literacy and Planning, Health and Nutrition, Finances, and DACA Renewals.  Free DACA renewals are offers in partnership with the North Carolina Justice Center to DACAmented individuals to be able to renew their DACA status for another two years. This allows participants to continue to receive their legal status to go to school and work while contributing to the greater High Point community.",No,N/A,Yes,"English, Spanish","Immigration Issues, US Legal System, Family Financial Literacy and Planning, Health and Nutrition, Finances, and DACA Renewals",As needed,N/A,N/A,Free,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Maria Mayorga,336-882-4126,mmayorga@ywcahp.com
63930b08-2db2-46a7-af63-ddb4b3378818,Baby Cafe,Baby Cafe,Novant Health,M0090;  C0035,2,1,1,M0090,N/A,N/A,N/A,bc8cbaaa-a89f-4966-bc8d-c008522d24d8,Novant Health,Baby Cafe,NA,NA,Breastfeeding Support,Lactation Consultants,336-718-8233,NA,https://www.novanthealth.org/home/services/womens-health/maternity-care/breastfeeding-services/baby-cafe.aspx,Virtual Meetings Available,Virtual Meetings Available,Virtual Meetings Available,Virtual Meetings Available,Virtual Meetings Available,NA,NA,N/A,N/A,N/A,NA,Multi-County,NA,"Pregnant and breastfeeding mothers can connect with a lactation consultant and other new moms at Novant Health’s Baby Café locations for breastfeeding help and support. Mothers can weigh babies, get help with positioning and latching babies for breastfeeding, and discuss strategies for pumping and storing milk if mothers are returning to work or school.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Penelope Sluder,336-718-8233,pssluder@novanthealth.org
649cacbe-1805-479f-a2f2-7e6a5e31aa6d,Food Giveaway,Food Giveaway,Out of the Garden Project,C0072;  M0092,2,1,1,M0092,1301 Alamance Church Road,Greensboro,27406.0,b5b97ed9-549d-4193-81d2-04b6c3cc5a62,Out of the Garden Project,Food Giveaway,Support for a Safe Home,Household Safety/Material Supports,Food/Nutrition Assistance,NA,336-430-6070,NA,https://outofthegardenproject.org/,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,1301 Alamance Church Road,Greensboro,27406.0,NA,Guilford County-Wide,NA,Out of the Garden Project is the largest nonprofit in the Piedmont Triad with the mission of feeding children and their families.,Specifically for families with children 0-18 years of age,Must qualify by income,Yes,"English, Spanish","Distribute fresh produce, bread, meat, and shelf-stable items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don Milholin,336-430-6070 ext. 5,don@outofthegardenproject.org
65339cf3-b272-4973-bf05-0568191e1812,Potter's House Community Kitchen,Potter's House Community Kitchen,Greensboro Urban Ministry,M0059;  C0069,2,1,1,M0059,306 W. Gate City Boulevard,Greensboro,27406.0,1d3de207-6cf9-4a81-910d-69615962da12,Greensboro Urban Ministry,Potter's House Community Kitchen,Support for a Safe Home,Household Safety/Material Supports,Food/Nutrition Assistance,NA,(336) 412-2244,NA,https://greensborourbanministry.org/,10:30am-12:30pm,10:30am-12:30pm,10:30am-12:30pm,10:30am-12:30pm,10:30am-12:30pm,10:30am-12:30pm,10:30am-12:30pm,306 W. Gate City Boulevard,Greensboro,27406.0,NA,Guilford County-Wide,NA,"Potter's House Community Kitchen provides a hot, nutritious, well-balanced lunch every day, including holidays. They have an open-door policy – everyone is welcome, without question or qualification.  The community lunch begins promptly at 10:30 am when the doors open, and the first of the guests start to stream in. Each guest is seated and served a drink from the beverage station and a tray from the food line. By 12:30 the last of the guests have received their meal.",NA,NA,NA,NA,Provides hot meals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mark Sumerford,336-271-5959 x309,sumerford@guministry.org
662f502a-aef1-4930-9ff0-d046c1cc96a2,Outpatient Treatment,Outpatient Treatment,Triad Behavioral Services,M0161,1,1,0,M0161,NA,NA,NA,97550ce1-e4e5-4f5c-9d41-9d785c87090d,Triad Behavioral Services,Outpatient Treatment,Support for Health Care,NA,NA,NA,336-389-1413,NA,http://triadbehavioralresources.com/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66872910-b9e6-413d-8e36-eb18b2560ca2,Psychiatric/Behavior Health Medication Management Services,Psychiatric/Behavior Health Medication Management Services,Youth Unlimited,M0142,1,1,0,M0142,338 Burton Ave,High Point,27262.0,6ac1e385-4398-4d60-8b06-7323dca79d98,Youth Unlimited,Psychiatric/Behavior Health Medication Management Services,NA,NA,NA,NA,336-883-1361,NA,https://youthunlimited.cc/?page_id=1689,NA,NA,NA,NA,NA,NA,NA,338 Burton Ave,High Point,27262.0,NA,NA,NA,"Our Psychiatric / Behavioral Health Medication Management Services ensures each child and family receives the quality care and time needed to meet their psychiatric and medication needs. The programs are run by Medical Director, Dr. Molly Froelich and Nurse Practitioner Jane Hoonhout. Jane Hoonhout takes appointments for initial and follow-up medication evaluations on Monday and Tuesday at our Sophia location and Wednesday and Thursday at our High Point office.",Birth-18,NA,NA,NA,Medication evaluation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vivian Thomas,336-883-1361,NA
