Column,Organization Name,Program Name,Domain Name,Service Factor,Service Type 1,Service Type 2,Phone Number,Fax Number,Website,Mon- Hours,Tues-Hours,Wed-Hours,Thurs-Hours,Fri-Hours,Sat-Hours,Sun-Hours,Street Address,City,Zip,Multiple Locations,Location Eligibility,Population Served,Brief Program Description,Age Range for Services,Specific Eligibility Criteria,Services Provided in other languages,Specify Languages,Services Offered,Duration/Length of Service,Evidence Based,Validated Screening Tools,Fees,Contact Name for Referrals,Phone Number 2,Email Address,Accepted Referral Process,Preferred Referral,Referral Form Provided,Referral Source Response Time,Practice for Following Up with Referring Organization,Current Waitlist,General Waitlist Trends,Duplication Policy,Transportation Policy,Primary Program Contact Name,Phone Number 3,Email address
M0027,Department of Public Health,Care Coordination for Children (CC4C)/CMARC (Care Management for At Risk Children),,,Home Visiting Programs,Case Management,336-641-7641,,https://www.guilfordcountync.gov/our-county/human-services/health-department/child-health-services/care-coordination-for-children-cc4c,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,1203 Maple Street,Greensboro,27405.0,,Guilford County-Wide,,"The Care Coordination for Children (CC4C)/ Care Management for At Risk Children (CMARC) Program is a free case management service for eligible children from birth up to five years of age. We serve children born at risk for developmental delays, children who have difficulty learning to speak or doing other things that a typical toddler or preschooler can and children whose parents have a concern that something isn’t right.",Birth- 5 ,Guilford county and at risk condition,Yes,All - Spanish Interpreter on staff and use services for other languages,Case Management Services: Provide home visits and linkage to services,Birth till age of 5 ,,,,Debra Goddard,336-641-7641,dgoddar@guilfordcountync.gov,Call program manager ,,,,,,,,,Debra Goddard,336-641-7641,dgoddar@guilfordcountync.gov
M0028,Department of Public Health,Children's Developmental Services Agencies (CDSAs),,,Developmental Services,,336-334-5601,,https://beearly.nc.gov/index.php/contact/cdsa,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,122 N. Elm Street,Greensboro,27401.0,,Guilford County-Wide,,"Local Children's Developmental Services Agencies (CDSAs) are available to help families, caregivers, and professionals serve children with special needs through our Infant Toddler Program.",Birth-3,All are eligibile if need is identified,Yes,"English and Spanish, Spanish interpreter on staff and service outreach for other languages","Assistive technology services and devices, Audiology services, Early identification and screening, Evaluations and assessments, Family training, counseling, and home visits, Health services, Medical services (diagnosis and evaluation), Nursing services, Nutrition services, Occupational therapy, Physical therapy, Psychological services, Respite services, Service coordination, Social work services, Special instruction, Speech-language therapy, Transportation and related costs, Vision services",Agreed apon during Indiviual Family Service Plan (IFSP),,,,Debbi Kennerson,336-334-5601,debbi.kennerson@dhhs.nc.gov,"Call, email, doctor, or self referal ",,,,,,,,,Debbi Kennerson,336-334-5601,debbi.kennerson@dhhs.nc.gov
M0029,Department of Public Health,WIC,,,Food/Nutrition Assistance,Social Services,336-641-3214,,https://www.guilfordcountync.gov/our-county/human-services/health-department/child-health-services/how-wic-works,8:00am-11:00am / 1:00pm-4:00pm,8:00am-11:00am / 1:00pm-4:00pm,8:00am-11:00am / 1:00pm-4:00pm,8:00am-11:00am / 1:00pm-4:00pm,8:00am-11:00am / 1:00pm-4:00pm,,,1100 E. Wendover Avenue,Greensboro,27405.0,,Guilford County-Wide,,"The Special Supplemental Nutrition Program for Women, Infants, and Children (WIC) provides federal grants to states for supplemental foods, health care referrals, and nutrition education for low-income pregnant, breastfeeding, and non-breastfeeding postpartum women, and to infants and children up to age five who are found to be at nutritional risk.",Birth-5,"Women who are pregnant, postnatal 6 months and below, breastfeeding 12 months and below",Yes,All - Spanish Interpreter on staff and use services for other languages,"providing nutritious foods to supplement diets, information on healthy eating including breastfeeding promotion and support, and referrals to health care.",Birth-5,,,,Candice Davis,336-621-3214,cdavis1@guilfordcountync.gov,call or walk in ,,,,,,,,,Candice Davis,336-621-3214,cdavis1@guilfordcountync.gov
M0030,Department of Public Health,WIC,,,Food/Nutrition Assistance,Social Services,336-641-7571,,https://www.guilfordcountync.gov/our-county/human-services/health-department/child-health-services/how-wic-works,8:00am-11:00am / 1:00pm-4:00pm,8:00am-11:00am / 1:00pm-4:00pm,8:00am-11:00am / 1:00pm-4:00pm,8:00am-11:00am / 1:00pm-4:00pm,8:00am-11:00am / 1:00pm-4:00pm,,,501 E. Green Drive,High Point,27260.0,,Guilford County-Wide,,"The Special Supplemental Nutrition Program for Women, Infants, and Children (WIC) provides federal grants to states for supplemental foods, health care referrals, and nutrition education for low-income pregnant, breastfeeding, and non-breastfeeding postpartum women, and to infants and children up to age five who are found to be at nutritional risk.",,,,,,,,,,,,,,,,,,,,,,,,
M0031,Department of Social Services,Child Protective Services,,,Social Services,Case Management,336-641-3795,,https://www.guilfordcountync.gov/our-county/human-services/health-department/child-health-services/how-wic-works,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,1203 Maple Street,Greensboro,27405.0,,Guilford County-Wide,,"Child Protective Services (CPS) serves to protect Guilford County’s children, strengthen the ability of families to protect and care for their own children, minimize harm to children and youth, and to ensure permanence in children’s lives. CPS also offers support to intact families, when appropriate, to stabilize the family situation and strengthen the family’s ability to fulfill parental responsibility for children.",Birth - 18,,,,"Emergency Assistance, Heating or Cooling Assistnace, Family Recruitment for Foster and Adoptive Homes, Food Stamps, Guardianship Services, Work First Family Assistance, and Medicaid",,,,,,,,,,,,,,,,,Myra Thompson ,336-641-3094,mthomps@guilfordcountync.gov
M0032,Department of Social Services,Child Protective Services,,,Social Services,Case Management,336-641-3795,,https://www.guilfordcountync.gov/our-county/human-services/social-services/children-services-and-programs,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,325 E. Russell Avenue,High Point,27260.0,,Guilford County-Wide,,"Child Protective Services (CPS) serves to protect Guilford County’s children, strengthen the ability of families to protect and care for their own children, minimize harm to children and youth, and to ensure permanence in children’s lives. CPS also offers support to intact families, when appropriate, to stabilize the family situation and strengthen the family’s ability to fulfill parental responsibility for children.",Birth - 18,,,,"Emergency Assistance, Heating or Cooling Assistnace, Family Recruitment for Foster and Adoptive Homes, Food Stamps, Guardianship Services, Work First Family Assistance, and Medicaid",,,,,,,,,,,,,,,,,,,
M0033,Department of Social Services,Emergency Assistance - The Salvation Army,,,Housing Services,Medication Support,336-235-0368,,https://www.guilfordcountync.gov/our-county/human-services/social-services/family-services-and-programs,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,"1311 S. Eugene Street
",Greensboro,27405.0,,Guilford County-Wide,,"The Emergency Assistance Program addresses emergency needs, including Emergency Housing issues involving families with children (risk of homelessness within 24-48 hours), problem pregnancies, domestic violence referrals, parents that are in need of emergency welfare reform liaison assistance and acute medication needs.",,,,,"Emergency Assistance, Heating or Cooling Assistnace, Family Recruitment for Foster and Adoptive Homes, Food Stamps, Guardianship Services, Work First Family Assistance, and Medicaid",,,,,,,,,,,,,,,,,,,
M0034,Department of Social Services,Medicaid Transportation,,,Transportation Services,,336-641-3000,,https://www.guilfordcountync.gov/our-county/human-services/transportation/services-and-programs,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,,,325 E. Russell Ave,High Point,27282.0,,Guilford County,,"TAMS provides transportation to doctors' offices, hospitals, dialysis centers, clinics, dentists and other health-related visits medical appoints for persons in need. Guilford County residents who have a Medicaid pink or blue card and who have no other means of transportation receive free transportation to medical appointment. Transportation services may include bus tickets, gas vouchers, taxis or vans. Medicaid recipients must complete a transportation assessment form before service can begin. This is usually handled over the phone. Other county residents living outside the city limits or without access to public transit can also receive medical transportation.",,,Spanish ,Spanish and English,"Emergency Assistance, Heating or Cooling Assistnace, Family Recruitment for Foster and Adoptive Homes, Food Stamps, Guardianship Services, Work First Family Assistance, and Medicaid",,,,,,,,Online or in person,,https://epass.nc.gov/,,,,,,,,,
M0035,Department of Social Services,Food and Nutrition Services (Food Stamps),,,Food/Nutrition Assistance,Social Services,336-641-7771,,https://www.guilfordcountync.gov/our-county/human-services/social-services/family-services-and-programs,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,325 E. Russell Ave,High Point,27260.0,,Guilford County-Wide,,"Food and Nutrition Services (Food Stamps) serves to raise the nutritional level among low income households, increasing the purchasing power of these households, and in turn promote and strengthen the agricultural economy.",,"Income, Household Composition, Citizenship/Immigration Status, Resources ",,,"EMergency Assistance, Heating or Cooling Assistnace, Family Recruitment for Foster and Adoptive Homes, Food Stamps, Guardianship Services, Work First Family Assistance, and Medicaid",,,,,,,,Online or in person,,https://epass.nc.gov/,,,,,,,,,
M0036,Department of Social Services,Food and Nutrition Services (Food Stamps),,,Food/Nutrition Assistance,Social Services,336-641-3000,,https://www.guilfordcountync.gov/our-county/human-services/social-services/family-services-and-programs,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,1203 Maple Street,Greensboro,27405.0,,Guilford County-Wide,,"Food and Nutrition Services (Food Stamps) serves to raise the nutritional level among low income households, increasing the purchasing power of these households, and in turn promote and strengthen the agricultural economy.",,"Income, Household Composition, Citizenship/Immigration Status, Resources ",,,"EMergency Assistance, Heating or Cooling Assistnace, Family Recruitment for Foster and Adoptive Homes, Food Stamps, Guardianship Services, Work First Family Assistance, and Medicaid",,,,,,,,Online or in person,,https://epass.nc.gov/,,,,,,,,,
M0037,Department of Social Services,Work First Family Assistance,,,Job Attainment Services,Social Services,336-641-3000,,https://www.guilfordcountync.gov/our-county/human-services/social-services/family-services-and-programs,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,1203 Maple Street,Greensboro,27405.0,,Guilford County-Wide,,"North Carolina’s Temporary Assistance for Needy Families (TANF) program, called Work First (WF), is based on the premise that parents have a responsibility to support themselves and their children.  The WF program promotes a strengths-based, family-centered practice approach and shares in the mission of the NC DHHS, in collaboration with its partners, to protect the health and safety of all North Carolinians and provide essential human services.  WF provides parents with short-term training and other services to help them become employed and move toward self-sufficiency. Families in which grandparents and relatives are caring for their relative children and legal guardians can receive services and support that prevent children from unnecessarily entering the foster care system.  WF emphasizes three core strategies: Diversion, Work and Retention.",,,,,"EMergency Assistance, Heating or Cooling Assistnace, Family Recruitment for Foster and Adoptive Homes, Food Stamps, Guardianship Services, Work First Family Assistance, and Medicaid",,,,,,,,,,,,,,,,,,,
M0038,Department of Public Health,CC4C,,,Home Visiting Programs,Case Management,336-641-7641,336-641-8016,https://www.guilfordcountync.gov/our-county/human-services/health-department/child-health-services/care-coordination-for-children-cc4c,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,1203 Maple St. ,High Point,27260.0,,County-Wide,"Caregiver with Child 0-5, must live in Guilford County","The Care Coordination for Children (CC4C)/ Care Management for At Risk Children (CMARC) Program is a free case management service for eligible children from birth up to five years of age. We serve children born at risk for developmental delays, children who have difficulty learning to speak or doing other things that a typical toddler or preschooler can and children whose parents have a concern that something isn’t right.",,"Caregiver with Child 0-5, must live in Guilford County",,,Case Management Services: Provide home visits and linkage to services,until child is 5 years old,,"SWYC, Ages & Stages, Life Skills Progression",,Deborah Goddard,336-641-7641,dgoddar@guilfordcounty.nc.gov,"Walk-in, Call, Community Partner",Fax or Emailed Form,,,,N,,,,Deborah Goddard,336-641-7641,dgoddar@guilfordcounty.nc.gov
M0039,Department of Public Health,Guilford Family Connects,,,Home Visiting Programs,,336-641-3085,,https://www.guilfordcountync.gov/our-county/human-services/health-department/home-visiting-services,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,1203 Maple Street,Greensboro,27405.0,,Guilford County-Wide,,"Guilford Family Connects offers nurse home visits to all deliveries throughout Guilford County. Nurse home visits provide support, education, and early identification and referral of health & safety concerns. Nurses with advanced knowledge and experience in public heath, perinatal nursing and lactation support will conduct post-delivery visits with follow-up as needed. Visits include a thorough physical assessment of mom and baby, psychosocial assessment of family and environment, referral and follow up of identified needs and educational counseling.",Newborn,Universal assesment of new moms after giving birth,Yes,All - Spanish Interpreter on staff and use services for other languages,"Home Visits, Baby Weight Checks, Review of Mom/Baby Health",Birth - 6 weeks ,,,,,,ttollis@guilfordcountync.gov,Hospital rounds or phone call ,,,,,,,,,Teresa Tollison,336-641-3085,ttollis@guilfordcountync.gov
M0040,Department of Health and Human Services ,Just Teens Clinic,,,,,,,,,,,,,,,,,,,County-Wide,13-19; Target Referral 15-19,,,,,,"STD Screening, Pregnancy Test, Birth Control, Immunizations, Health Promotion (counseling, nutrition, healthy relationships & dating, safe sex groups, general counseling",,,,,,,,Call or Email,,,,,N,,,,Latonya Pender (GSO); Vonda Pavon (HP),,justteens@guilfordcountync.gov
M0041,Department of Public Health,Case Management for High Risk Pregnancy (CMHRP) formerly OBCM,,,Home Visiting Programs,Case Management,336-641-3700,,https://www.guilfordcountync.gov/our-county/human-services/health-department/home-visiting-services,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,1100 Wendover Ave. ,Greensboro,27405.0,,Guilford County-Wide,"Pre-term baby, chronic illness such as diabetes, or other concerns ","The Pregnancy Care Management Program is a free care management service available to pregnant women enrolled in North Carolina Medicaid and to a limited number of low income, uninsured pregnant women.",Prenatal,Pregnant moms enrolled in medicade in NC and to a limited number of uninsured and low income mothers. Must be in Guilford county and recieve positive risk screening ,Yes,All - Spanish Interpreter on staff and use services for other languages,Care manager will work closely with you and your prenatal provider to meet your needs during pregnancy,Entire pregnancy and 2 months post partum,,,,Lydia Monk,336-641-3700,lmonk@guilfordcountync.gov,Call or Email,Email/Call,,,,N,,,,Lydia Monk,336-641-3700,lmonk@guilfordcountync.gov
M0042,FaithAction International House,FaithAction ID Program,Support for a Safe Home,,Immigration Services,,336-379-0037,,https://faithaction.org/,9:00am-5:00pm,10:00am-6:00pm,9:00am-5:00pm,10:00am-6:00pm,9:00am-5:00pm,,,705 N. Greene Street,Greensboro,27401.0,,Multi-County,,"FaithAction and FaithAction ID network partners provide ID cards to individuals who may not currently have access to government issued forms of ID, including new immigrants and refugees, homeless and elderly individuals, those recently returning from jail, and others who believe in a diverse and inclusive community.",Any,"Immigrant, Refugee, People experiencing homelessness",Yes,"English, Spanish, French, have volunteers for other languages",ID Cards,None,,,$10 (may request waiver),Jose Bernal,336-379-0037 ext 6,jose@faihouse.org,Call or Email,,,,,N,,None,,Jose Bernal,"336-379-0037, ext 6",jose@faihouse.org
M0043,FaithAction International House,Immigrant Assistance Center,Support for a Safe Home,,Immigration Services,,336-379-0037,,https://faithaction.org/,9:00am-5:00pm,10:00am-6:00pm,9:00am-5:00pm,10:00am-6:00pm,9:00am-5:00pm,,,705 N. Greene Street,Greensboro,27401.0,,Multi-County,,"FaithAction's bilingual staff provide one on one help with: Basic needs (food and diapers, healthcare, and housing issues); FaithAction ID cards; Education opportunities and employment readiness; Safe space and accompaniment for domestic/sexual violence survivors; Emergency assistance to families facing detention and deportation; Referrals for furniture, clothing, legal services, etc.",Any,Immigrant and Refugee,Yes,"English, Spanish, French","Basic Needs, ID Cards, Education Opportunities,Safe Space, Emergency Deportation assistance, referrals ",None,,,None,Jose Bernal,336-379-0037,jose@faihouse.org,Email,,N/A,,,N/A,,None,"Yes, based upon availability",Jose Bernal,336-379-0037 ext 6,jose@faihouse.org
M0044,Family Justice Center ,Family Justice Center,,,Domestic Violence/Interpersonal Violence Services,,336-641-2339,,https://www.guilfordcountync.gov/our-county/family-justice-center,8:30am-1:00pm,8:30am-1:00pm,8:30am-1:00pm,8:30am-1:00pm,8:30am-1:00pm,,,201 S. Greene Street 2nd floor,Greensboro,27401.0,,Greensboro,,"Family Justice Center helps victims of domestic violence, sexual assault, child abuse, and elder abuse. At the Centers, victims can come to one location to access a wide range of supportive resources, such as talking with a victim advocate, getting assistance with filing a restraining order, planning for their safety, talking to a law enforcement officer, meeting with a professional to discuss civil and criminal legal issues, receiving medical assistance, and gaining information on how to access shelter and other community resources.",Any,N/A,Yes,Any,,Various ,N/A,N/A,Free ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Yes ,Sonya Desai ,,
M0045,Family Justice Center ,Family Justice Center,,,Domestic Violence/Interpersonal Violence Services,,336-641-2889,,https://www.guilfordcountync.gov/our-county/family-justice-center,8:30am-1:00pm,8:30am-1:00pm,8:30am-1:00pm,8:30am-1:00pm,8:30am-1:00pm,,,505 E. Green Drive,High Point,27260.0,,"High Point, Greater High Point",,"Family Justice Center helps victims of domestic violence, sexual assault, child abuse, and elder abuse. At the Centers, victims can come to one location to access a wide range of supportive resources, such as talking with a victim advocate, getting assistance with filing a restraining order, planning for their safety, talking to a law enforcement officer, meeting with a professional to discuss civil and criminal legal issues, receiving medical assistance, and gaining information on how to access shelter and other community resources.",Any,N/A,Yes,Any,,Various ,N/A,N/A,Free ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Yes,Sonya Desai ,,
M0046,Family Services of the Piedmont,Fairview Family Resource Center,,,Parent/Caregiver Classes,After-School Programs,336-882-8907,,https://www.fspcares.org/fairview-family-resource-center/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,401 Taylor Avenue,High Point,27261.0,,"High Point, Greater High Point",,"The Fairview Family Resource Center (FFRC) provides community-based programs and services for families, children and individuals living in the Fairview Elementary School district. Located in the Southside Recreation Center in High Point and includes the following programs and services: The Incredible Years® parenting group, youth leadership development, Southside Community Garden Project, after school/summer activities for school-age children, connections with community resources, High Point Public Library Technology Access Point (TAP), youth computer literacy program, community workshops, and adult learning support.",,,,,,,,,,,,,,,,,,,,,,,,
M0047,Family Services of the Piedmont,High Point Center for Child Wellness,,,Child and Family Mental Health Services,,336-801-1171,,https://www.fspcares.org/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,308 Boulevard Street,HIgh Point,27262.0,,Guilford County-Wide,,"The High Point Center for Child Wellness offers comprehensive psychiatric care for children and families who have no health insurance coverage or are on Medicaid. Services include psychiatric assessments, medication management, therapeutic service and case management for children up to age 16.",,,,,,,,,,,,,,,,,,,,,,Shenika Sharpe,336-801-1171,shenika.sharpe@fspcares.org
M0048,Family Services of the Piedmont,The Families First Center,,,Domestic Violence/Interpersonal Violence Services,,336-387-6161,,https://www.fspcares.org/,8:30am-12:00pm / 1:00pm-2:30pm,8:30am-12:00pm / 1:00pm-2:30pm,8:30am-12:00pm / 1:00pm-2:30pm,8:30am-12:00pm / 1:00pm-2:30pm,8:30am-12:00pm / 1:00pm-2:30pm,,,315 E. Washington Street,Greensboro,27401.0,,Greensboro,,"Services offered include: Domestic Violence, Substance Abuse, Mental Health, and Sexual Assault services, Child Abuse, Healthy Parenting – in home therapy, Incredible Years, Financial Counseling, childen’s advocacy center, emergency shelters",,,,,,,,,,,,,,,,,,,,,,Theresa Johnson,336-387-6161,theresa.johnson@fspcares.org
M0049,Family Services of the Piedmont,The Slane Center,,,Domestic Violence/Interpersonal Violence Services,,336-387-6161,,https://www.fspcares.org/,8:30am-12:00pm /  2:00pm-3:30pm,8:30am-12:00pm /  2:00pm-3:30pm,8:30am-12:00pm /  2:00pm-3:30pm,8:30am-12:00pm /  2:00pm-3:30pm,8:30am-12:00pm /  2:00pm-3:30pm,,,1401 Long Street,High Point ,27262.0,,"High Point, Greater High Point",,"Services offered include: Domestic Violence, Substance Abuse, Mental Health, and Sexual Assault services, Child Abuse, Healthy Parenting – in home therapy, Incredible Years, Financial Counseling, childen’s advocacy center, emergency shelters",,,,,,,,,,,,,,,,,,,,,,Theresa Johnson,336-387-6161,theresa.johnson@fspcares.org
M0050,Family Services of the Piedmont,Healthy Start ,,,Home Visiting Programs,Case Management,336-387-6161,,www.safeandhealthyfamilies.com,,,,,,,,315 E. Washington St. ,Greensboro,27401.0,,County-Wide,Pregnant women and new parents with child 0-18 months (can enroll mom while pregnant),Healthy Steps is a program to ensure babies and toddlers recieve nurturing parenting and have healthy development. Specialist meet with parents of children birth to age 3 at children's well-child visits in pediatric offices in Guilford-County.,Birth-5,Pregnant women and new parents with child 0-18 months (can enroll mom while pregnant),Yes,English and Spanish,Case Management Services: Provide weekly home visits and linkage to services,birth to five months ,,"ASQs, whodas, ",,Kristy Shoffner,336-387-6161,kristy.shoffner@fspcares.org,"Fax, email, call",Email,,,,Y in GSO; 30 days,,,,Kristy Shoffner,,kristy.shoffner@fspcares.org
M0051,Family Solutions,Family Solutions,Support for Caring for Infants and Children,Parent-Child Relationship,Child and Family Mental Health Services,Adult Mental Health Services,336-899-8800,336-899-8811,https://www.famsolutions.org/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,231 N. Spring Street,Greensboro,27401.0,,Multi-County,,"Family Solutions is a private counseling agency committed to providing great outpatient mental health services to the Triad region. Serving their community since 2001, their agency consists of thirty-two mental health professionals who are fully/associate level Licensed Professional Counselors and fully/associate level Licensed Clinical Social Workers. Their mission is community, commitment, and compassion. Family Solutions provides an array of mental health services to individuals, children, and families. Services are community and office-based, depending upon the family’s needs.",All ages,N/A,,,"Individual therapy, group therapy, and family therapy, including online counseling, early childhood mental health, Incredible Years, EMDR, in-home therapy services, school-based therapy, trauma-focused CBT, play therapy ","Varies, depends on person",Yes,,Yes,Megan Oakes,336-899-8800,intake@famsolutions.org,"Paper application, Online application",,https://www.famsolutions.org/referral-forms,,,,,Duplication allowed,None,Chris or Anita Faulkner,336-392-1606 (Chris) 336-491-8292 (Anita),"chris@famsolutions.org
anita@famsolutions.org"
M0052,Family Solutions,Family Solutions,Support for Caring for Infants and Children,Parent-Child Relationship,Child and Family Mental Health Services,Adult Mental Health Services,336-899-8800,336-899-8811,https://www.famsolutions.org/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,148 Baker Road,Archdale,27263.0,,Multi-County,,"Family Solutions is a private counseling agency committed to providing great outpatient mental health services to the Triad region. Serving their community since 2001, their agency consists of thirty-two mental health professionals who are fully/associate level Licensed Professional Counselors and fully/associate level Licensed Clinical Social Workers. Their mission is community, commitment, and compassion. Family Solutions provides an array of mental health services to individuals, children, and families. Services are community and office-based, depending upon the family’s needs.",All ages,N/A,,,"Individual therapy, group therapy, and family therapy, including online counseling, early childhood mental health, Incredible Years, EMDR, in-home therapy services, school-based therapy, trauma-focused CBT, play therapy ","Varies, depends on person",Yes,,Yes,Megan Oakes,336-899-8800,intake@famsolutions.org,Paper application Online application,,https://www.famsolutions.org/referral-forms,,,,,Duplication allowed,None,Chris or Anita Faulkner,336-392-1606 (Chris) 336-491-8292 (Anita),"chris@famsolutions.org
anita@famsolutions.org"
M0053,Greater High Point Food Alliance,Food Finder High Point,,,Food/Nutrition Assistance,,336-889-0885,,https://findfood.ghpfa.org/,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,815 Phillips Avenue,High Point,27262.0,,"High Point, Greater High Point",,"Resources for finding food in High Point including emergency assistance, food pantries, backpack programs, community gardens, mobile markets, community meals, and farmers markets.",,,,,,,,,,,,,,,,,,,,,,Carl Vierling,336-899-0885,carl.vierling@ghpfa.org
M0054,Greensboro Housing Authority,Greensboro Housing Authority ,,,Housing Services,,336-275-8501,,http://www.gha-nc.org/residents/covid-19/office-closure-information.aspx,10:00am-3:00pm,10:00am-3:00pm,10:00am-3:00pm,10:00am-3:00pm,10:00am-3:00pm,,,450 N. Church Street,Greensboro,27401.0,,Greensboro,,"To provide safe, quality, affordable housing to low income families, elderly, and the disabled in the Greensboro community; to maintain a secure community environment; and to encourage personal responsibility and upward mobility of residents while maintaining the fiscal integrity of the agency.",,,,,,,,,,,,,,,,,,,,,,Tina Brown,336-275-8501 ,
M0055,Greensboro Housing Coalition,Greensboro Housing Coalition,Support for a Safe Home,Household Safety/ Material Supports,Housing Services,,336-691-9521,,https://www.greensborohousingcoalition.org/,8:30am-5:30pm,8:30am-5:30pm,8:30am-5:30pm,8:30am-5:30pm,8:30am-5:30pm,,,1031 Summit Avenue,Greensboro,27405.0,,Greensboro,,"Homeless prevention - free housing counseling assistance in locating affordable rental housing or housing with support services for families and individuals in crisis and the chronically homeless. We provide potential resources for other housing needs like utilities.  Forclosure prevention - free counseling for homeowners in danger of losing their home to foreclosure.  Healthy Homes - provide assistance to residents who live in homes with health and safety hazards through education, referrals, and landlord tenant advocacy. ",18+,Most have a source of income,Yes,"English, Spanish",Housing counseling assistance,N/A,,,Free,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,,,Josie Williams,336-691-9521,josie@gsohc.org
M0056,Greensboro Public Libraries,Greensboro Public Libraries,Support for a Safe Home,Household Safety/ Material Supports,Literacy Services,,336-335-5430,,https://library.greensboro-nc.gov/about-us/covid-19-updates,9:00am-9:00pm,9:00am-9:00pm,9:00am-9:00pm,9:00am-9:00pm,9:00am-9:00pm,9:00am-6:00pm,2:00pm-6:00pm,219 N. Church Street,Greensboro,27401.0,,Guilford County-Wide,,"In partnership with the community, the Greensboro Public Library strives to provide free and equal access to information, foster lifelong learning, and inspire the joys of reading.",All ages,"Must be a resident of Guilford county or apart of adjacent counties, must have a permanent residence. (Those living in shelters may only get a computer card, not a card to check out books.)",Yes,"English, Spanish",Access to information/reading,2-3 years (library card may be deactivated if not used),N/A,N/A,Free,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,Brigitte Blanton,336-373-2717,bridgitte.blanton@greensboro-nc.gov
M0057,Greensboro Transit Agency,Greensboro Transit Agency,,,Transportation Services,,336-373-2489,,https://www.greensboro-nc.gov/departments/transportation/gdot-divisions/greensboro-transit-agency-public-transportation-division,N/A,N/A,N/A,N/A,N/A,,,300 W. Washington Street,Greensboro,27401.0,,Guilford County-Wide,,GTA provids quality public transportation services to Greensboro residents and visitors,All ages ,N/A,,,"Jobs, Serivices Dictionart, Storm Recovery Resources",N/A,,,Regular One day Pass: $1.50 Discount One-Ride Pass:$0.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,yes ,Wendy Evans ,336-373-2732,
M0058,Greensboro Urban Ministry,Food Pantry,Support for a Safe Home,Household Safety/Material Supports,Food/Nutrition Assistance,,336-271-5959,,https://greensborourbanministry.org/,8:30am-5:00pm,8:30am-5:00pm,8:30am-5:00pm,8:30am-5:00pm,8:30am-5:00pm,,,305 W. Gate City Boulevard,Greensboro,27406.0,,Greensboro,,"The Greensboro Urban Ministry Food Bank collects and redistributes good, edible food to 100 households or more a day.   These food assistance bags include fruits and vegetables, grains, and protein, to help ensure that those receiving assistance are eating balanced nutritious meals.",,,,,Collects and redistributes food,,,,,,,,,,,,,,,,,Mark Sumerford,336-271-5959 x308,sumerford@guministry.org
